Time,m_2_Positive,m_2_Negative,m_3_Positive,m_3_Negative,m_5_Positive,m_5_Negative,m_10_Positive,m_10_Negative
59,201.66666666666666,95.66666666666667,192.0,104.0,190.66666666666666,106.0,186.33333333333334,112.0
60,201.66666666666666,95.33333333333333,192.33333333333334,103.33333333333333,191.0,105.66666666666667,187.0,111.0
61,202.0,93.33333333333333,194.33333333333334,101.33333333333333,192.33333333333334,104.0,187.66666666666666,111.0
62,204.0,93.66666666666667,196.66666666666666,100.33333333333333,192.33333333333334,103.0,188.0,110.0
63,204.66666666666666,92.66666666666667,198.33333333333334,99.33333333333333,194.0,103.66666666666667,189.0,108.66666666666667
64,205.0,91.33333333333333,200.0,98.0,194.66666666666666,103.0,190.0,108.33333333333333
65,206.0,89.66666666666667,200.33333333333334,94.66666666666667,195.0,101.66666666666667,191.33333333333334,108.0
66,207.0,89.33333333333333,202.66666666666666,94.33333333333333,196.33333333333334,101.66666666666667,191.66666666666666,106.33333333333333
67,208.0,89.0,203.0,94.0,196.33333333333334,100.66666666666667,192.33333333333334,106.0
68,208.33333333333334,89.0,204.0,92.0,196.66666666666666,99.0,192.66666666666666,105.0
69,209.33333333333334,88.33333333333333,206.0,90.33333333333333,197.33333333333334,99.66666666666667,193.0,104.33333333333333
70,210.0,87.0,205.66666666666666,89.33333333333333,197.33333333333334,99.66666666666667,194.66666666666666,104.66666666666667
71,210.66666666666666,86.0,206.33333333333334,89.33333333333333,198.0,97.0,195.33333333333334,103.33333333333333
72,211.66666666666666,84.33333333333333,207.66666666666666,87.0,199.0,96.0,195.66666666666666,102.33333333333333
73,211.66666666666666,83.0,208.66666666666666,86.66666666666667,200.33333333333334,96.0,196.0,102.33333333333333
74,213.0,83.33333333333333,209.66666666666666,87.0,199.66666666666666,95.66666666666667,196.66666666666666,101.66666666666667
75,214.33333333333334,82.66666666666667,210.66666666666666,85.0,200.33333333333334,95.0,197.33333333333334,101.33333333333333
76,214.66666666666666,82.0,212.0,84.0,201.0,93.66666666666667,198.0,99.66666666666667
77,215.0,81.0,212.33333333333334,82.66666666666667,201.66666666666666,93.66666666666667,198.66666666666666,99.0
78,215.66666666666666,81.0,214.66666666666666,81.33333333333333,202.66666666666666,92.33333333333333,198.66666666666666,99.33333333333333
79,217.33333333333334,78.33333333333333,216.33333333333334,80.0,203.33333333333334,93.0,200.0,98.0
80,219.0,78.33333333333333,216.0,79.66666666666667,203.66666666666666,91.33333333333333,200.33333333333334,96.66666666666667
81,219.0,78.0,215.66666666666666,79.33333333333333,204.0,89.33333333333333,200.66666666666666,96.33333333333333
