Time,b_0.0_Positive,b_0.0_Negative,b_0.1_Positive,b_0.1_Negative,b_0.5_Positive,b_0.5_Negative,b_1.0_Positive,b_1.0_Negative
92,197.66666666666666,97.66666666666667,204.66666666666666,88.0,263.6666666666667,32.0,288.0,9.666666666666666
93,197.66666666666666,96.66666666666667,206.33333333333334,88.66666666666667,264.0,31.666666666666668,287.6666666666667,10.0
94,198.0,96.0,204.66666666666666,88.33333333333333,263.6666666666667,31.666666666666668,287.6666666666667,10.0
95,199.0,94.33333333333333,206.0,87.0,263.0,32.666666666666664,287.6666666666667,10.333333333333334
96,198.33333333333334,94.33333333333333,205.66666666666666,86.0,262.3333333333333,33.0,287.6666666666667,10.0
97,199.66666666666666,96.0,206.66666666666666,87.33333333333333,262.6666666666667,33.0,287.0,10.0
98,199.0,95.33333333333333,206.66666666666666,87.33333333333333,262.3333333333333,33.666666666666664,287.6666666666667,10.333333333333334
99,199.33333333333334,95.0,206.0,87.0,262.3333333333333,34.0,286.3333333333333,10.666666666666666
100,200.33333333333334,95.0,205.66666666666666,86.0,262.3333333333333,34.666666666666664,287.3333333333333,10.333333333333334
101,199.66666666666666,94.0,205.66666666666666,85.66666666666667,262.6666666666667,34.333333333333336,286.6666666666667,10.666666666666666
102,200.33333333333334,94.66666666666667,206.66666666666666,85.33333333333333,262.3333333333333,35.666666666666664,286.6666666666667,11.333333333333334
103,200.66666666666666,94.33333333333333,207.0,87.0,261.6666666666667,36.0,287.0,11.333333333333334
104,200.33333333333334,93.33333333333333,206.66666666666666,84.66666666666667,261.0,35.333333333333336,285.3333333333333,11.333333333333334
105,200.33333333333334,93.0,207.33333333333334,86.0,262.6666666666667,35.666666666666664,285.3333333333333,11.333333333333334
106,200.33333333333334,92.66666666666667,208.0,84.66666666666667,262.3333333333333,36.333333333333336,285.3333333333333,12.666666666666666
107,200.66666666666666,93.33333333333333,208.33333333333334,85.0,262.0,36.666666666666664,285.6666666666667,12.666666666666666
108,201.0,93.33333333333333,210.0,83.66666666666667,260.6666666666667,36.666666666666664,283.3333333333333,12.666666666666666
109,200.66666666666666,92.33333333333333,209.0,85.66666666666667,259.6666666666667,37.0,283.0,13.333333333333334
110,202.0,93.0,209.0,85.0,259.6666666666667,37.333333333333336,283.3333333333333,13.333333333333334
111,202.33333333333334,92.33333333333333,210.33333333333334,84.0,259.0,38.666666666666664,282.6666666666667,14.666666666666666
112,201.66666666666666,90.66666666666667,208.33333333333334,84.33333333333333,259.0,38.0,282.6666666666667,14.333333333333334
113,200.66666666666666,91.33333333333333,208.0,84.0,259.3333333333333,37.666666666666664,281.3333333333333,14.666666666666666
114,201.0,89.66666666666667,207.33333333333334,82.33333333333333,258.3333333333333,37.333333333333336,281.0,15.333333333333334
115,200.66666666666666,88.66666666666667,208.0,81.66666666666667,258.0,37.333333333333336,280.3333333333333,15.0
116,201.66666666666666,90.33333333333333,208.33333333333334,81.0,259.0,38.0,280.3333333333333,17.0
117,200.66666666666666,91.33333333333333,210.66666666666666,82.33333333333333,259.0,37.333333333333336,280.0,17.333333333333332
118,202.33333333333334,91.66666666666667,210.33333333333334,80.0,257.6666666666667,37.333333333333336,279.0,17.333333333333332
119,203.33333333333334,90.66666666666667,211.33333333333334,79.0,259.0,37.0,279.0,17.333333333333332
120,202.0,89.33333333333333,210.0,80.66666666666667,258.6666666666667,38.0,278.3333333333333,18.0
121,202.66666666666666,90.0,210.33333333333334,80.66666666666667,258.0,38.0,279.0,18.333333333333332
122,203.66666666666666,88.66666666666667,209.66666666666666,80.66666666666667,257.3333333333333,38.666666666666664,278.6666666666667,18.0
123,202.33333333333334,89.0,209.66666666666666,81.66666666666667,255.66666666666666,38.333333333333336,278.0,17.666666666666668
124,201.33333333333334,89.66666666666667,208.66666666666666,82.0,256.0,39.0,277.6666666666667,18.0
125,201.33333333333334,89.66666666666667,208.33333333333334,82.33333333333333,256.3333333333333,38.0,278.0,19.0
126,202.0,91.66666666666667,208.66666666666666,84.0,255.33333333333334,38.666666666666664,277.0,18.666666666666668
127,201.66666666666666,91.33333333333333,208.66666666666666,81.66666666666667,255.66666666666666,39.666666666666664,277.6666666666667,20.666666666666668
128,200.33333333333334,93.0,208.0,82.33333333333333,257.3333333333333,39.333333333333336,276.3333333333333,21.0
129,199.33333333333334,95.0,207.33333333333334,81.66666666666667,257.3333333333333,38.333333333333336,275.3333333333333,20.333333333333332
130,199.33333333333334,94.33333333333333,208.33333333333334,82.33333333333333,256.0,38.333333333333336,276.3333333333333,21.333333333333332
131,198.33333333333334,95.0,207.66666666666666,83.33333333333333,255.0,39.333333333333336,276.3333333333333,19.666666666666668
132,197.0,93.66666666666667,205.33333333333334,82.0,255.33333333333334,39.666666666666664,275.0,18.666666666666668
133,195.66666666666666,96.0,206.0,83.0,255.0,40.333333333333336,273.0,21.0
134,197.66666666666666,96.33333333333333,206.0,83.33333333333333,252.66666666666666,41.333333333333336,273.6666666666667,21.333333333333332
135,197.66666666666666,96.33333333333333,206.66666666666666,83.66666666666667,253.66666666666666,41.333333333333336,272.6666666666667,21.333333333333332
136,197.33333333333334,96.0,209.33333333333334,83.33333333333333,253.0,43.0,273.6666666666667,21.666666666666668
137,197.0,95.66666666666667,209.66666666666666,83.0,250.66666666666666,43.333333333333336,271.6666666666667,21.0
138,196.33333333333334,97.66666666666667,206.66666666666666,81.66666666666667,248.66666666666666,43.333333333333336,270.6666666666667,21.333333333333332
139,194.33333333333334,96.66666666666667,207.33333333333334,82.66666666666667,247.66666666666666,44.333333333333336,269.3333333333333,22.333333333333332
140,192.66666666666666,97.0,207.66666666666666,81.0,247.66666666666666,45.333333333333336,268.6666666666667,22.0
141,194.0,96.0,210.0,82.33333333333333,246.66666666666666,44.666666666666664,268.0,24.0
142,194.33333333333334,95.66666666666667,209.33333333333334,82.0,247.66666666666666,45.333333333333336,267.0,26.0
143,193.66666666666666,96.66666666666667,209.66666666666666,82.66666666666667,247.33333333333334,45.666666666666664,267.0,26.0
144,193.33333333333334,100.0,208.66666666666666,83.0,246.33333333333334,46.333333333333336,266.6666666666667,26.666666666666668
145,193.66666666666666,99.33333333333333,207.66666666666666,83.33333333333333,247.66666666666666,44.333333333333336,265.6666666666667,27.0
146,195.33333333333334,99.66666666666667,210.0,83.33333333333333,245.33333333333334,46.0,265.3333333333333,27.0
147,195.66666666666666,98.66666666666667,208.0,84.0,244.33333333333334,45.666666666666664,264.0,28.666666666666668
148,195.0,98.0,208.33333333333334,83.33333333333333,245.0,46.666666666666664,262.3333333333333,30.666666666666668
149,193.66666666666666,97.0,207.66666666666666,84.66666666666667,246.66666666666666,46.333333333333336,261.6666666666667,31.666666666666668
